supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat
karrymart,2,1,299,500,201,cash,yes,no,no,no,no,no,no,23/05/2017,no,13:23:00,afternoon,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,13,A,1,1,1
karrymart,1,1,20,20,0,cash,no,yes,no,no,no,no,no,23/05/2017,no,06:31:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,6,A,1,1,1
karrymart,1,1,60,100,40,cash,no,yes,no,no,no,no,no,23/05/2017,no,05:33:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,5,A,1,1,1
karrymart,1,1,30,200,170,cash,no,yes,no,no,no,no,no,23/05/2017,no,07:23:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,7,A,1,1,1
karrymart,2,1,56,60,4,cash,no,yes,no,no,no,no,no,23/05/2017,no,07:10:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,7,A,1,1,1
karrymart,1,1,115,1000,885,cash,no,no,yes,no,no,no,no,23/05/2017,no,07:18:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,7,A,1,1,1
karrymart,1,1,80,100,20,cash,yes,no,no,no,no,no,no,23/05/2017,no,06:10:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,6,A,1,1,1
karrymart,1,1,48,100,52,cash,no,yes,no,no,no,no,no,23/05/2017,no,06:27:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,6,A,1,1,1
karrymart,1,1,60,100,40,cash,no,yes,no,no,no,no,no,23/05/2017,no,07:29:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,7,A,1,1,1
karrymart,1,1,90,100,10,cash,no,yes,no,no,no,no,no,23/05/2017,no,05:20:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,5,A,1,1,1
karrymart,1,1,52,500,448,cash,no,yes,no,no,no,no,no,23/05/2017,no,08:28:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,8,A,1,1,1
karrymart,1,1,30,50,20,cash,no,yes,no,no,no,no,no,23/05/2017,no,07:48:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,7,A,1,1,1
karrymart,2,2,80,200,120,cash,yes,yes,no,no,no,no,no,23/05/2017,no,07:03:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,7,A,1,1,1
karrymart,1,1,280,300,20,cash,yes,no,no,no,no,no,no,23/05/2017,no,05:49:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,5,A,1,1,1
karrymart,1,1,25,50,25,cash,no,yes,no,no,no,no,no,23/05/2017,no,10:21:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,10,A,1,1,1
karrymart,1,1,40,50,10,cash,no,yes,no,no,no,no,no,23/05/2017,no,07:29:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,7,A,1,1,1
karrymart,1,1,73,100,27,cash,no,yes,no,no,no,no,no,23/05/2017,no,08:10:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,8,A,1,1,1
karrymart,1,1,35,1005,970,cash,no,yes,no,no,no,no,no,23/05/2017,no,07:45:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,7,A,1,1,1
karrymart,1,1,65,100,35,cash,yes,no,no,no,no,no,no,23/05/2017,no,05:53:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,5,A,1,1,1
karrymart,1,1,70,70,0,cash,no,yes,no,no,no,no,no,23/05/2017,no,08:30:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,8,A,1,1,1
karrymart,1,1,25,100,75,cash,no,yes,no,no,no,no,no,23/05/2017,no,07:33:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,7,A,1,1,1
karrymart,1,1,60,100,40,cash,no,no,yes,no,no,no,no,23/05/2017,no,15:07:00,afternoon,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,15,A,1,1,1
karrymart,2,2,285,500,115,cash,yes,yes,no,no,no,no,no,23/05/2017,no,06:09:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,6,A,1,1,1
karrymart,2,2,170,200,30,cash,no,yes,no,yes,no,no,no,23/05/2017,no,08:21:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,8,A,1,1,1
karrymart,1,1,38,100,62,cash,no,yes,no,no,no,no,no,23/05/2017,no,07:43:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,7,A,1,1,1
karrymart,1,1,100,100,0,cash,yes,no,no,no,no,no,no,23/05/2017,no,06:56:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,6,A,1,1,1
karrymart,1,1,35,40,5,cash,no,yes,no,no,no,no,no,23/05/2017,no,14:38:00,afternoon,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,14,A,1,1,1
karrymart,1,1,25,500,475,cash,no,no,no,yes,no,no,no,23/05/2017,no,06:32:00,morning,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,6,A,1,1,1
chandarana,1,1,225,400,175,cash,no,no,no,yes,no,no,no,23/05/2017,yes,14:12:00,afternoon,chain,yaya,mid,Tuesday,weekday,no,23,5,2017,14,A,1,1,1
tumaini,4,4,343,500,57,cash,no,yes,yes,yes,no,yes,no,16/10/2017,no,14:13:00,afternoon,chain,ongata rongai,mid,Monday,weekday,no,16,10,2017,14,B,1,1,1
karrymart,1,1,55,100,45,cash,no,no,yes,no,no,no,no,23/05/2017,no,21:27:00,night,chain,cbd,mid,Tuesday,weekday,no,23,5,2017,21,A,1,1,1
karrymart,2,1,250,300,50,cash,yes,no,no,no,no,no,no,21/05/2017,no,12:00:00,midnight,chain,cbd,mid,Sunday,weekend,no,21,5,2017,12,A,1,1,1
nakumatt,2,3,1130,1130,0,mpesa,no,no,no,yes,yes,yes,no,22/08/2017,yes,18:50:00,evening,chain,junction,mid,Tuesday,weekday,no,22,8,2017,18,A,1,1,1
